2026-01-31T15:51:52+03:00
Running ./benchStr
Run on (32 X 2494.22 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
Load Average: 0.05, 0.01, 0.00
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_mean                                              20.2 ns         20.2 ns           10
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_median                                            20.1 ns         20.1 ns           10
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_stddev                                           0.377 ns        0.377 ns           10
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_cv                                                1.87 %          1.87 %            10
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_mean                                              4.82 ns         4.82 ns           10
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_median                                            4.66 ns         4.66 ns           10
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_stddev                                           0.467 ns        0.467 ns           10
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_cv                                                9.70 %          9.70 %            10
-----  Find 9 symbols text in end of 99 symbols text ---------/repeats:1                                           0.000 ns        0.000 ns   1000000000000
std::string::find;_mean                                                                                             6.82 ns         6.82 ns           10
std::string::find;_median                                                                                           6.73 ns         6.73 ns           10
std::string::find;_stddev                                                                                          0.422 ns        0.422 ns           10
std::string::find;_cv                                                                                               6.18 %          6.18 %            10
std::string_view::find;_mean                                                                                        6.76 ns         6.76 ns           10
std::string_view::find;_median                                                                                      6.66 ns         6.66 ns           10
std::string_view::find;_stddev                                                                                     0.315 ns        0.315 ns           10
std::string_view::find;_cv                                                                                          4.67 %          4.67 %            10
ssa::find;_mean                                                                                                     6.29 ns         6.29 ns           10
ssa::find;_median                                                                                                   6.30 ns         6.30 ns           10
ssa::find;_stddev                                                                                                  0.114 ns        0.114 ns           10
ssa::find;_cv                                                                                                       1.80 %          1.80 %            10
stringa::find;_mean                                                                                                 6.82 ns         6.82 ns           10
stringa::find;_median                                                                                               6.73 ns         6.73 ns           10
stringa::find;_stddev                                                                                              0.278 ns        0.278 ns           10
stringa::find;_cv                                                                                                   4.07 %          4.07 %            10
lstringa<20>::find;_mean                                                                                            7.09 ns         7.09 ns           10
lstringa<20>::find;_median                                                                                          7.08 ns         7.08 ns           10
lstringa<20>::find;_stddev                                                                                         0.669 ns        0.669 ns           10
lstringa<20>::find;_cv                                                                                              9.44 %          9.44 %            10
lstringa<40>::find;_mean                                                                                            6.43 ns         6.43 ns           10
lstringa<40>::find;_median                                                                                          6.39 ns         6.39 ns           10
lstringa<40>::find;_stddev                                                                                         0.242 ns        0.242 ns           10
lstringa<40>::find;_cv                                                                                              3.75 %          3.75 %            10
-------  Copy not literal Str with N symbols ---------/repeats:1                                                   0.000 ns        0.000 ns   1000000000000
std::string copy{str_with_len_N};/15_mean                                                                           4.81 ns         4.81 ns           10
std::string copy{str_with_len_N};/15_median                                                                         4.81 ns         4.81 ns           10
std::string copy{str_with_len_N};/15_stddev                                                                        0.076 ns        0.076 ns           10
std::string copy{str_with_len_N};/15_cv                                                                             1.58 %          1.58 %            10
std::string copy{str_with_len_N};/16_mean                                                                           23.2 ns         23.2 ns           10
std::string copy{str_with_len_N};/16_median                                                                         23.1 ns         23.1 ns           10
std::string copy{str_with_len_N};/16_stddev                                                                        0.432 ns        0.432 ns           10
std::string copy{str_with_len_N};/16_cv                                                                             1.87 %          1.87 %            10
std::string copy{str_with_len_N};/23_mean                                                                           23.2 ns         23.2 ns           10
std::string copy{str_with_len_N};/23_median                                                                         22.7 ns         22.7 ns           10
std::string copy{str_with_len_N};/23_stddev                                                                        0.762 ns        0.762 ns           10
std::string copy{str_with_len_N};/23_cv                                                                             3.29 %          3.29 %            10
std::string copy{str_with_len_N};/24_mean                                                                           24.7 ns         24.7 ns           10
std::string copy{str_with_len_N};/24_median                                                                         24.0 ns         24.0 ns           10
std::string copy{str_with_len_N};/24_stddev                                                                         2.15 ns         2.15 ns           10
std::string copy{str_with_len_N};/24_cv                                                                             8.73 %          8.73 %            10
std::string copy{str_with_len_N};/32_mean                                                                           22.7 ns         22.7 ns           10
std::string copy{str_with_len_N};/32_median                                                                         22.7 ns         22.7 ns           10
std::string copy{str_with_len_N};/32_stddev                                                                        0.396 ns        0.396 ns           10
std::string copy{str_with_len_N};/32_cv                                                                             1.74 %          1.74 %            10
std::string copy{str_with_len_N};/64_mean                                                                           22.5 ns         22.5 ns           10
std::string copy{str_with_len_N};/64_median                                                                         22.5 ns         22.5 ns           10
std::string copy{str_with_len_N};/64_stddev                                                                        0.371 ns        0.371 ns           10
std::string copy{str_with_len_N};/64_cv                                                                             1.65 %          1.65 %            10
std::string copy{str_with_len_N};/128_mean                                                                          24.4 ns         24.4 ns           10
std::string copy{str_with_len_N};/128_median                                                                        24.1 ns         24.1 ns           10
std::string copy{str_with_len_N};/128_stddev                                                                       0.748 ns        0.748 ns           10
std::string copy{str_with_len_N};/128_cv                                                                            3.07 %          3.07 %            10
std::string copy{str_with_len_N};/256_mean                                                                          28.2 ns         28.2 ns           10
std::string copy{str_with_len_N};/256_median                                                                        28.2 ns         28.2 ns           10
std::string copy{str_with_len_N};/256_stddev                                                                       0.350 ns        0.350 ns           10
std::string copy{str_with_len_N};/256_cv                                                                            1.24 %          1.24 %            10
std::string copy{str_with_len_N};/512_mean                                                                          28.6 ns         28.6 ns           10
std::string copy{str_with_len_N};/512_median                                                                        28.7 ns         28.7 ns           10
std::string copy{str_with_len_N};/512_stddev                                                                       0.512 ns        0.512 ns           10
std::string copy{str_with_len_N};/512_cv                                                                            1.79 %          1.79 %            10
std::string copy{str_with_len_N};/1024_mean                                                                         33.8 ns         33.8 ns           10
std::string copy{str_with_len_N};/1024_median                                                                       33.8 ns         33.8 ns           10
std::string copy{str_with_len_N};/1024_stddev                                                                      0.727 ns        0.727 ns           10
std::string copy{str_with_len_N};/1024_cv                                                                           2.15 %          2.15 %            10
std::string copy{str_with_len_N};/2048_mean                                                                          121 ns          121 ns           10
std::string copy{str_with_len_N};/2048_median                                                                        122 ns          122 ns           10
std::string copy{str_with_len_N};/2048_stddev                                                                       8.44 ns         8.44 ns           10
std::string copy{str_with_len_N};/2048_cv                                                                           6.96 %          6.96 %            10
std::string copy{str_with_len_N};/4096_mean                                                                          164 ns          164 ns           10
std::string copy{str_with_len_N};/4096_median                                                                        161 ns          161 ns           10
std::string copy{str_with_len_N};/4096_stddev                                                                       18.3 ns         18.3 ns           10
std::string copy{str_with_len_N};/4096_cv                                                                          11.17 %         11.17 %            10
stringa copy{str_with_len_N};/15_mean                                                                               1.11 ns         1.11 ns           10
stringa copy{str_with_len_N};/15_median                                                                             1.11 ns         1.11 ns           10
